iterations,run,time,avg_util,num_infosets,avg_entropy
1000,0,0.11398744583129883,-0.10404947856423771,108,0.7308435117518138
1000,1,0.11321711540222168,0.03522892716563408,108,0.6535643904190237
1000,2,0.1099390983581543,-0.09358702887596934,108,0.6998826448416693
5000,0,0.569974422454834,0.07653869749586292,108,0.44235372469074385
5000,1,0.5685725212097168,-0.046008283732796085,108,0.4588970990863953
5000,2,0.5743885040283203,0.08625951067042072,108,0.4805050440698022
10000,0,1.1171207427978516,-0.031760773787632895,108,0.3668575643635755
10000,1,1.139824390411377,0.11511842351334062,108,0.37540306372102455
10000,2,1.1532504558563232,0.043221718500539935,108,0.3567997016721232
50000,0,5.698235034942627,-0.02363273417360534,108,0.29113078984834373
50000,1,5.625857353210449,-0.007137808224294939,108,0.3149710053282351
50000,2,5.7800657749176025,-0.023439126653583497,108,0.29594965702869175
100000,0,11.648849487304688,0.006202379243398004,108,0.279255244083024
100000,1,11.651983737945557,-0.02459928910669315,108,0.2806460333664147
100000,2,11.825915336608887,0.034726823429389625,108,0.2689032674003032
